g_event_id,sid,time,r_dow,r_hod,a_er_cat,a_app_id,a_campaign_type_id,a_camp_id,a_group_id,r_source_id,c_id,r_site_id,r_site_iab_cats,r_country_id,r_region_code,r_platform,r_network_type,r_traffic_type,c_type,c_cta,c_text,c_size,s_gerry_type,s_caesar_id,response
-4,0,1568674522.353,0,22,0,930,2,25482,26490,69,6379444,28175271,"24,3",32,02,ANDROID,wifi,app,NATIVE,ABRIR O APP,Coloque créditos no seu celular a qualquer hora!,0,,,0
-4,0,1568674556.958,0,22,0,2339,2,25357,25851,69,6378875,27765271,3,49,02,ANDROID,wifi,app,NATIVE,Viaja Ahora,Estás Listo Para Viajar con Beat,0,,,0
-4,0,1568674559.781,0,22,0,2363,2,25639,27068,253,6385715,27901826,9,10,,ANDROID,wifi,app,HTML,Pedí un Glovo,Bienvenidos a lo natural,3200480,,,0
-4,0,1568674572.671,0,22,0,1087,2,25179,25835,69,6371279,27814728,"1,1,9,9",32,27,ANDROID,cellular,app,IMAGE,,,4800320,,,0
-4,0,1568674640.42,0,22,0,1992,2,25403,26865,69,6392813,22520569,3,32,27,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568674667.042,0,22,2,1923,2,6603,25612,259,6364405,28638613,9,237,CA,IOS,cellular,app,HTML,Tour Homes,Find your dream home in Los Angeles with Redfin!,3200480,,,0
-4,0,1568674676.451,0,22,0,2213,2,6639,14719,69,6374390,27765271,3,178,A1,ANDROID,wifi,app,NATIVE,Shop Now,Daily Flash Deals!,0,,,0
-4,0,1568674692.819,0,22,0,1087,2,25179,26510,69,6371265,28014499,"14,3",32,30,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568674693.354,0,22,0,1992,2,25403,26865,69,6387833,26358728,"1,9,9",32,21,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568674699.632,0,22,0,1883,2,6932,16054,69,6374627,408796,"24,9,9",177,15,ANDROID,wifi,app,IMAGE,,,3200050,2,,0
-4,0,1568674746.492,0,22,0,1061,2,25697,27493,69,6392894,27814680,"1,1,9,9",106,14,ANDROID,cellular,app,HTML,Pesan Sekarang,{product.description} - Kode Promo:  {product.custom_label_1},3200480,,,0
-4,0,1568674806.052,0,23,0,2214,2,6732,15102,259,6372764,28558305,9,244,20,ANDROID,wifi,app,HTML,XEM NGAY,ƯU ĐÃI ĐẾN 60%,3200480,,,0
-4,0,1568674806.887,0,23,0,2154,2,25171,25171,69,6364811,28082078,"14,3",32,26,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568674811.426,0,23,0,930,2,25482,26490,69,6379444,28153864,"14,3",32,21,ANDROID,wifi,app,NATIVE,ABRIR O APP,Coloque créditos no seu celular a qualquer hora!,0,,,0
-4,0,1568674812.014,0,23,0,1399,2,25619,27544,253,6389293,28582421,24,32,21,ANDROID,wifi,app,IMAGE,,,4800320,,,0
-4,0,1568674815.045,0,23,0,2416,2,25664,27147,259,6390873,28470398,9,104,02,ANDROID,cellular,app,IMAGE,,,3200480,,,0
